Item do Portfólio,Torre,Classificação,Produtos-alvo,% MRR produto-alvo,STO,Lead Product Manager,HC P&D (Time),Clientes,MRR
YMS,Torre Embarcador,Especialista,"KMM - Flow TOS/Automação, KMM - Novo YMS (.Net), GBM - TOT, Trizy - TSM",76%,Leonardo Suarez,Gilson Neiva,47,230,"R$ 5,625.3K"
TMS Embarcador,Torre Embarcador,Core,Multisoftware - MultiEmbarcador,99%,Luiz Augusto Malinski,Jonatas SIlva da Costa,67,136,"R$ 3,088.7K"
DMS Atacadista/Distribuidor,Torre Embarcador,Especialista,,0%,Tiago Saad,CINTHYA CHRISTINE PEREIRA,18,780,"R$ 2,666.1K"
Soluções de Pedágio,Torre Embarcador,Especialista,"qualp, nspedágio - Conta única, nspedágio - Integradores",100%,rodrigo.souza@nstech.com.br,"Felipe Barbosa, Rodolfo Bulati",15,350,"R$ 1,771.9K"
Gestão de Entregas,Torre Embarcador,Especialista,"Comprovei - Comprovei Enterprise, Comprovei - Comprovei Cargo",81%,Tiago Saad,Rafael Silva,20,306,"R$ 1,105.6K"
Roteirizador,Torre Embarcador,Especialista,"Routeasy - Routing, RoutEasy - Maestro",100%,Tiago Saad,Guilherme Afonso,23,0,R$ 921.8K
TMS Embarcador e-commerce,Torre Embarcador,Core,Frete Rápido - Gestão de Fretes,100%,mario.rodrigues@freterapido.com.br,Ricardo Andrade,34,0,R$ 836.1K
WMS e Gestão de Terminais,Torre Embarcador,Especialista,"WMS - Locus, KMM - Portus (GTP)",84%,Pedro Neves,,21,50,R$ 302.0K
Super App,Torre Embarcador,Core,Trizy - Super App,100%,rodrigo.souza@nstech.com.br,"Marlon farias, Ricardo Paulo Silva dos Santos",22,0,R$ 170.5K
Etiqueta de Frete,Torre Embarcador,Especialista,Frete Rápido - Shippon,100%,mario.rodrigues@freterapido.com.br,Ricardo Andrade,0,0,R$ 141.4K
Hub de Agendamento,Torre Embarcador,Hub,Trizy - GPED,100%,Laíny,Rafael Tonetti,12,3,R$ 110.5K
Torre de Controle,Torre Embarcador,Core,Multi - Torre de Controle,100%,Luiz Augusto Malinski,Silvio Evangelista Abreu,11,0,R$ 0.0K
Hub de Oferta de Cargas,Torre Embarcador,Hub,Hub de Oferta de cargas,100%,Cesar Bortolini,Rodrigo Romanovski,2,0,R$ 0.0K
PEF - Pagamento Eletrônico de Frete,Torre Fintech,Hub,"efrete - Pagamento Eletrônico de Frete, efrete - PEF - Licença de Integração, efrete - PEF - Credenciado",100%,Letícia Luana Braatz,João Ferreira,8,2270,R$ 922.7K
Serviços Financeiros,Torre Fintech,Hub,"nsflow, efrete - Conta Digital PF, efrete - Conta Digital PJ",100%,Letícia Luana Braatz,Brayan Elias Diehl,3,9,R$ 34.8K
