Razão Social,CNPJ,DMS Atacadista/Distribuidor,Gestão de Entrega,Roteirizador,TMS Embarcador,Trizy - APP,Trizy - YMS
4E EQUIPAMENTOS PARA CAMINHOES EIRELI,28.810.269/0001-52,1,,,,,
5 S TRANSPORTES E LOGISTICA FARMACEUTICA LTDA,09.461.008/0001-20,,1,,,,
A L F FERNANDES,34.572.875/0001-80,1,,,,,
A T M COMERCIO E DISTRIBUIDORA LTDA,08.725.744/0001-85,1,,,,,
A.ABELHA DISTRIBUICAO LTDA,45.501.069/0001-37,1,,,,,
A.R. QUEIROZ COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,07.994.127/0001-12,1,,,,,
A2 COMERCIO ATACADISTA DE ELETRONICOS LTDA,26.910.194/0001-56,1,,,,,
ABC DISTRIBUIDORA DE PAPEIS LTDA,13.178.704/0001-09,1,,,,,
ABC DISTRIBUIDORA S A,07.228.042/0001-23,1,,,,,
ABC LOGISTICA LTDA.,42.722.360/0001-47,1,,,,,
ABREU & SILVA DISTRIBUIDOR LTDA.,04.790.656/0001-06,1,,,,,
,04.790.656/0003-78,1,,,,,
ACO BRAZIL COMERCIO LTDA,08.926.351/0001-30,1,,,,,
ACO CEARENSE LOGISTICA LTDA.,49.929.194/0001-01,,,,1,,
ACO PARA INDUSTRIAL LTDA,14.719.161/0001-44,1,,,,,
ACOFER INDUSTRIA E COMERCIO DE FERRO LTDA,44.226.066/0001-70,,,1,,,
ACOMIX LTDA,06.018.430/0002-06,1,,,,,
Aços Cearense (Tech Chapecó),00.000.000/0000-00,,,,,,1
ACOTUBO INDUSTRIA E COMERCIO LTDA,43.919.968/0001-29,,1,,,,
ACOVAZ INDUSTRIA E COMERCIO LTDA,02.689.668/0001-13,,,1,,,
ACTIVAS PLASTICOS INDUSTRIAIS LTDA,00.827.591/0006-80,,,1,,,
ACUMULADORES MOURA S A,09.811.654/0001-70,,,1,,,
ADESTE PRODUTOS ANIMAIS E VEGETAIS LTDA,43.563.840/0010-66,,,1,,,
ADM DO BRASIL LTDA,02.003.402/0001-75,,,,,,1
,02.199.856/0001-63,,,1,,,
ADRIANA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,04.724.476/0001-26,1,,,,,
Adubos Araguaia Ind E Com Ltda,03.306.578/0012-11,,,,,,1
AFORT INDUSTRIA DE PLASTICOS LTDA,17.289.826/0001-15,,,1,,,
AG3 COMERCIO E TRANSPORTES DE ALIMENTOS EIRELI,10.506.942/0001-08,1,,,,,
AGABOX EMBALAGENS LTDA,11.095.576/0001-04,,,1,,,
AGIL ALIMENTOS,16.638.936/0001-82,1,,,,,
AGRO AMAZONIA PRODUTOS AGROPECUARIOS S.A.,13.563.680/0064-87,,1,,,,
AGRO VETERINARIA TIMBO LTDA,78.668.597/0001-34,1,,,,,
AGROINDUSTRIA DE ALIMENTOS AVESUI LTDA,22.940.015/0001-72,1,,,,,
AGROSERRANA DISTRIBUIDORA DE PRODUTOS AGROPECUARIOS EIRELI,07.270.638/0001-91,1,,,,,
AGROSUL CATARINENSE LTDA,00.310.006/0001-65,1,,,,,
AHARA JOIAS,11.813.809/0001-59,,,1,,,
AJATO TRANSPORTES LTDA,07.515.777/0001-38,,1,,,,
AJL - AGRONEGOCIO JOSIDITH LTDA,19.321.410/0001-62,1,,,,,
AKL COMERCIAL ELETRICA IMPORTACAO E EXPORTACAO LTDA,08.252.740/0001-27,1,,,,,
AKRON,67.692.418/0001-88,,,1,,,
ALBA ENTERPRISES AGROINDUSTRIAL LTDA.,31.820.224/0002-54,1,,,,,
ALCAM SOLUCOES EM SERVICOS E COMERCIO DE EQUIPAMENTOS LTDA,28.709.073/0001-76,,,1,,,
ALF NETO DISTRIBUIDORA DE BEBIDAS E PRODUTOS ALIMENTICIOS EI,15.625.187/0001-96,1,,,,,
ALF NETO DISTRIBUIDORA DE BEBIDAS E PRODUTOS ALIMENTICIOS UN,15.625.187/0002-77,1,,,,,
ALFPACK INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,36.336.372/0001-30,1,,,,,
ALIANCA MATERIAIS DE CONSTRUCOES LTDA,14.298.960/0001-94,1,,,,,
ALIANCA NAVEGACAO E LOGISTICA LTDA.,02.427.026/0001-46,,,,1,,
ALIMAX PRODUTOS ALIMENTICIOS LTDA,52.408.699/0001-27,1,,,,,
ALIMENTARE PRODUTOS ALIMENTICIOS LTDA,08.166.524/0001-69,1,,,,,
,08.166.524/0003-20,1,,,,,
ALIMENTOS WILSON LTDA EM RECUPERACAO JUDICIAL,55.323.216/0003-41,,1,,,,
ALL FRIG COMERCIO E IMPORTACAO DE PRODUTOS ALIMENTICIOS LTDA,56.433.162/0001-78,1,,,,,
ALL NUTRI ALIMENTOS EIRELI,05.965.693/0001-70,1,,,,,
ALLAS SOLUCOES LOGISTICAS LTDA.,36.560.861/0001-71,,1,,,,
ALMEIDA COMERCIO DISTRIBUIDOR DE MATERIAIS DE CONSTRUCAO LTD,35.419.548/0001-55,1,,,,,
ALUMINIO RAMOS,45.273.406/0001-86,,,1,,,
ALVOAR LACTEOS NORDESTE S/A,10.483.444/0001-89,,,,1,,
ALVOAR LACTEOS S/A,21.992.946/0001-51,,,,1,,
Amaggi Exportacao E Importacao Ltda,77.294.254/0055-87,,,,,,1
Ambev S.A.,07.526.557/0040-16,,,,,,1
,07.526.557/0044-40,,,,,,2
AMEV IMPORTADORA E DISTRIBUIDORA LTDA,41.747.346/0001-35,1,,,,,
AMIV - COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,06.314.410/0001-93,1,,,,,
AMORIX ALIMENTOS LTDA - EPP,26.452.694/0001-91,1,,,,,
AMPLA AGENCIAMENTO DE CARGAS EIRELI,29.219.812/0001-04,,1,,,,
ANAPOLIS DISTRIBUIDORA DE BATERIAS LTDA,23.934.817/0001-32,1,,,,,
ANB FARMA LTDA,73.773.129/0001-06,,1,,,,
ANDRA S A ELECTRIC SOLUTIONS,47.674.429/0003-90,,,1,,,
Anglo American Niquel Brasil Ltda,42.184.226/0011-01,,,,,,1
ANISIO PINTOR LTDA,10.766.877/0001-41,1,,,,,
ANNEL DISTRIBUIDORA LTDA,71.171.060/0001-15,1,,,,,
ANTONIAZZI E CIA LTDA,95.597.647/0001-59,1,,,,,
ANTONIO CAVALCANTI CORREA DE ARAUJO,00.023.418/7294-87,1,,,,,
ARAFORROS IND E COMERCIO DE PERFILADOS LTDA,00.321.975/0001-11,1,,,,,
ARAUCO DO BRASIL S.A.,76.518.836/0001-44,,,,1,,
ARAUJO CABRAL & ALVES LTDA,07.201.916/0001-59,1,,,,,
ARCELORMITTAL BRASIL S.A.,17.469.701/0001-77,,,,1,,
ARCOLUB - ARCOS LUBRIFICANTES LTDA,00.820.570/0001-28,1,,,,,
ARILOG SOLUCOES EM LOGISTICA LTDA,08.572.740/0001-04,1,,,,,
Arm Armazens Gerais & Logistica Ltda,00.000.000/0000-00,,,,,,1
Armazem Agricola Jp Michels Ltda,51.056.954/0001-57,,,,,,1
ARMAZEM CENTRAL DE ACABAMENTOS LTDA,05.005.166/0001-14,1,,,,,
ARMAZEM MATEUS S.A.,23.439.441/0035-39,,,1,,,
Armazens Gerais Carapina Ltda,27.980.960/0004-64,,,,,,1
Armazens Gerais Leste De Minas Limitada,17.370.354/0001-20,,,,,,1
ART LIMP BRASIL LTDA,13.186.075/0001-50,,,1,,,
ARTE TRIGO INDUSTRIAL LTDA,16.366.878/0001-85,1,,,,,
